seed,clients_by,training_mode,round,model,client_id,client_train_count,client_val_count,client_test_normal_count,fault_audit_count,decision_policy,p50,p90,p95,p99,roc_auc,pr_auc,precision,recall,f1,false_alarm_rate,miss_rate,uncertain_rate,mean_health_normal,mean_health_fault,health_gap,tn,fp,fn,tp
202,bearing,federated,1,vae,K002,172,37,36,1956,fuzzy_warning_as_alarm_hi50,0.0,0.0,0.0,0.0,0.5,0.9819277108433735,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36,0,1956,0
202,bearing,federated,1,vae,K002,172,37,36,1956,fuzzy_fault_only_hi75,0.0,0.0,0.0,0.0,0.5,0.9819277108433735,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36,0,1956,0
202,bearing,federated,1,vae,K003,172,37,37,1956,hard_val_p95,0.0,0.0,0.0,0.0,0.5,0.9814350225790266,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37,0,1956,0
202,bearing,federated,1,vae,K003,172,37,37,1956,fuzzy_warning_as_alarm_hi50,0.0,0.0,0.0,0.0,0.5,0.9814350225790266,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37,0,1956,0
202,bearing,federated,1,vae,K003,172,37,37,1956,fuzzy_fault_only_hi75,0.0,0.0,0.0,0.0,0.5,0.9814350225790266,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37,0,1956,0
202,bearing,federated,1,vae,K004,171,37,36,1956,hard_val_p95,0.0,0.0,0.0,0.0,0.5,0.9819277108433735,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36,0,1956,0
202,bearing,federated,1,vae,K004,171,37,36,1956,fuzzy_warning_as_alarm_hi50,0.0,0.0,0.0,0.0,0.5,0.9819277108433735,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36,0,1956,0
202,bearing,federated,1,vae,K004,171,37,36,1956,fuzzy_fault_only_hi75,0.0,0.0,0.0,0.0,0.5,0.9819277108433735,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36,0,1956,0
202,bearing,federated,1,vae,K005,172,37,36,1956,hard_val_p95,0.0,0.0,0.0,0.0,0.5,0.9819277108433735,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36,0,1956,0
202,bearing,federated,1,vae,K005,172,37,36,1956,fuzzy_warning_as_alarm_hi50,0.0,0.0,0.0,0.0,0.5,0.9819277108433735,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36,0,1956,0
202,bearing,federated,1,vae,K005,172,37,36,1956,fuzzy_fault_only_hi75,0.0,0.0,0.0,0.0,0.5,0.9819277108433735,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36,0,1956,0
202,bearing,federated,1,vae,K006,171,37,36,1956,hard_val_p95,0.0,0.0,0.0,0.0,0.5,0.9819277108433735,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36,0,1956,0
